*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=b-car_rev1
*Date=14:18:55
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;;1.4986;-28.41;0;Bottom;Copper Fill2
106;;;1.4986;-30.95;0;Bottom;Copper Fill52
107;;;58.4695;-11.9045;0;Bottom;Via4
108;;;6.4262;-28.5624;0;Bottom;Copper Fill53
109;;;26.2636;-14.4527;0;Bottom;Copper Fill33
110;;;1.6764;-29.7435;0;Bottom;Copper Fill110
111;;;26.2382;-17.0435;0;Bottom;Copper Fill35
112;;;26.2382;-11.9635;0;Bottom;Copper Fill102
113;;;57.5564;-9.4235;0;Bottom;Copper Fill17
114;;;23.0306;-16.838;0;Bottom;TXT1
115;;;73.4568;-39.7511;0;Bottom;Copper Fill88
116;;;2.58936;-44.9247;0;Bottom;Via25
117;;;3.9116;-13.8304;0;Bottom;Copper Fill60
118;;;7.6073;-26.3526;0;Bottom;Copper Fill32
119;;;63.4873;-26.3526;0;Bottom;Copper Fill14
120;;;15.2894;-4.28467;0;Bottom;Via47
121;;;7.6073;-40.7544;0;Bottom;Copper Fill100
122;;;53.5432;-29.68;0;Bottom;Copper Fill46
123;;;37.084;-9.4235;0;Bottom;Copper Fill21
124;;;38.0873;-29.0704;0;Bottom;Copper Fill93
125;;;1.5494;-41.618;0;Bottom;Copper Fill40
126;;;25.4495;-19.5245;0;Bottom;Via12
127;;;10.1223;-29.4715;90;Bottom;TXT1
128;;;2.58936;-29.6847;0;Bottom;Via27
129;;;71.1694;-44.9247;0;Bottom;Hole1
130;;;21.5138;-33.49;0;Bottom;Copper Fill50
131;;;19.1008;-10.63;0;Bottom;Copper Fill10
132;;;40.4876;-25.0064;0;Bottom;Copper Fill9
133;;;12.664;-29.512;90;Bottom;TXT1
134;;;20.3805;-19.4269;0;Bottom;Via17
135;;;37.9984;-13.17;0;Bottom;Copper Fill75
136;;;2.58936;-37.3047;0;Bottom;Hole4
137;;;60.9562;-16.8758;0;Bottom;TXT1
